student_id,period,room
01,0,101
01,1,102
01,2,103
01,3,104
01,4/5,105
01,7/8,106
01,9,107
01,10,108
01,11,109
01,12,110
02,0,102
02,1,103
02,2,104
02,3,105
02,4/5,106
02,7/8,107
02,9,108
02,10,109
02,11,110
02,12,111
03,0,103
03,1,104
03,2,105
03,3,106
03,4/5,107
03,7/8,108
03,9,109
03,10,110
03,11,111
03,12,112
04,0,104
04,1,105
04,2,106
04,3,107
04,4/5,108
04,7/8,109
04,9,110
04,10,111
04,11,112
04,12,113
05,0,105
05,1,106
05,2,107
05,3,108
05,4/5,109
05,7/8,110
05,9,111
05,10,112
05,11,113
05,12,114
06,0,106
06,1,107
06,2,108
06,3,109
06,4/5,110
06,7/8,111
06,9,112
06,10,113
06,11,114
06,12,115
07,0,107
07,1,108
07,2,109
07,3,110
07,4/5,111
07,7/8,112
07,9,113
07,10,114
07,11,115
07,12,116
08,0,108
08,1,109
08,2,110
08,3,111
08,4/5,112
08,7/8,113
08,9,114
08,10,115
08,11,116
08,12,117
09,0,109
09,1,110
09,2,111
09,3,112
09,4/5,113
09,7/8,114
09,9,115
09,10,116
09,11,117
09,12,118
10,0,110
10,1,111
10,2,112
10,3,113
10,4/5,114
10,7/8,115
10,9,116
10,10,117
10,11,118
10,12,119
600,0,115
600,1,115
600,2,115
600,3,115
600,4/5,115
600,7/8,115
600,9,115
600,10,115
600,11,115
600,12,115
600,6/7,115
600,5/6,115
601,5/6,101
601,0,115
601,1,115
601,2,115
601,3,115
601,4/5,115
601,7/8,115
601,9,115
601,10,115
601,11,115
601,12,115
602,0,115
602,1,115
602,2,115
602,3,115
602,4/5,115
602,7/8,115
602,9,115
602,10,115
602,11,115
602,12,115
603,0,114
603,1,114
603,2,114
603,3,114
603,4/5,114
603,7/8,114
603,9,114
603,10,114
603,11,114
603,12,114
604,0,114
604,1,114
604,2,114
604,3,114
604,4/5,114
604,7/8,114
604,9,114
604,10,114
604,11,114
604,12,114
605,0,114
605,1,114
605,2,114
605,3,114
605,4/5,114
605,7/8,114
605,9,114
605,10,114
605,11,114
605,12,114
900,0,115
900,1,115
900,2,115
900,3,115
900,4/5,115
900,7/8,115
900,9,115
900,10,115
900,11,115
900,12,115
901,0,101
901,1,101
901,2,101
901,3,101
901,4/5,101
901,7/8,101
901,9,101
901,10,101
901,11,101
901,12,101
902,0,200
902,1,200
902,2,200
902,3,200
902,4/5,200
902,7/8,200
902,9,200
902,10,200
902,11,200
902,12,200
